Movie,MyRating,LBRating,Difference,ReviewDate,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
F9,0.5,2.58,-2.08,,143,2:23,"English,French,German,Spanish",Justin Lin,2021,"Action,Thriller,Crime,Adventure",USA,33022,97033,"Vin Diesel,Michelle Rodriguez,Tyrese Gibson,Ludacris,John Cena,Nathalie Emmanuel,Jordana Brewster,Sung Kang,Michael Rooker,Helen Mirren,Kurt Russell,Charlize Theron,Anna Sawai,Lucas Black,Shad Moss,Jason Tobin,Thue Ersted Rasmussen,Don Omar,Shea Whigham,Vincent Sinclair Diesel,Finn Cole,Vinnie Bennett,J. D. Pardo"
Wrath of Man,3.5,3.25,0.25,,119,1:59,English,Guy Ritchie,2021,"Action,Crime,Thriller",UK,16253,69703,"Jason Statham,Holt McCallany,Scott Eastwood,Jeffrey Donovan,Josh Hartnett,Eddie Marsan,Andy García,Laz Alonso,Darrell D'Silva,Babs Olusanmokun,Deobia Oparei,Chris Reilly,Niamh Algar,Raúl Castillo,Alex Ferns,Post Malone,Lyne Renee,Rocci Williams,Anthony Molinari"
Bad Boys for Life,3.0,3.01,-0.01,,124,2:04,"English,Spanish",Adil El Arbi,2020,"Crime,Thriller,Action",USA,12523,71358,"Will Smith,Martin Lawrence,Paola Nuñez,Vanessa Hudgens,Alexander Ludwig,Charles Melton,Kate del Castillo,Nicky Jam,Joe Pantoliano,Theresa Randle,Jacob Scipio,Michael Bay,DJ Khaled,Jay Dubb,Happy Anderson,Bianca Bethune,Dennis Greene,Lisa Ann Hadley,Gissette E. Valentin,Rose Bianco,Edelia Merida,Jasmin Lawrence,Shacai O'Neal,Carlos Guerrero,Massi Furlan,Chick Bernhard,Jennifer Badger,Jeff J.J. Authors,Keith Wheeler,Brandi Cohen,Jay Amor,Yessenia Hernandez,Anthony Molinari,Ivo Nandi,David Shae,Eduardo Rosario,Rory Markham,Brad Sanders,Damien Butler"
Limitless,4.0,3.25,0.75,,105,1:45,"English,Italian,Russian,Chinese,French",Neil Burger,2011,"Science Fiction,Mystery,Thriller",USA,6049,135847,"Bradley Cooper,Robert De Niro,Abbie Cornish,Andrew Howard,Anna Friel,Johnny Whitworth,Tomas Arana,Robert John Burke,Darren Goldstein,Ned Eisenberg,T.V. Carpio,Richard Bekins,Patricia Kalember,Cindy Katz,Brian Anthony Wilson,Rebecca Dayan,Ann Marie Green,Damali Mason,Meg McCrossen"
The Butterfly Effect,4.5,3.45,1.05,10/16/2020,113,1:53,English,Eric Bress,2004,"Science Fiction,Thriller",Canada,9858,132016,"Ashton Kutcher,Amy Smart,Eric Stoltz,Melora Walters,Ethan Suplee,William Lee Scott,Elden Henson,Logan Lerman,John Patrick Amedori,Irina Gorovaia,Kevin Schmidt,Jesse James"
Ford v Ferrari,4.0,3.86,0.14,,153,2:33,"English,French,Japanese,Italian",James Mangold,2019,"Drama,History,Action",USA,38693,264690,"Christian Bale,Matt Damon,Jon Bernthal,Caitríona Balfe,Josh Lucas,Noah Jupe,Tracy Letts,Remo Girone,Ray McKinnon,JJ Feild,Jack McMullen,Corrado Invernizzi,Joseph Williamson,Ian Harding,Christopher Darga,Shawn Law,Emil Beheshti,Darrin Prescott,Alex Gurney,Benjamin Rigby,Ben Collins,Francesco Bauco,Guido Cocomello,Adam Mayfield,Sean Carrigan,Lachlan Buchanan,Giles Matthey,Rudolf Martin,Evan Arnold,Darin Cooper,Elizabeth Dement,Wallace Langham"
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),4.0,3.23,0.77,06/14/2020,109,1:49,English,Cathy Yan,2020,"Action,Crime",USA,75400,354548,"Margot Robbie,Ewan McGregor,Mary Elizabeth Winstead,Jurnee Smollett,Rosie Perez,Chris Messina,Ella Jay Basco,Ali Wong,Matthew Willig,Dana Lee,Steven Williams,Robert Catrini,Daniel Bernhardt,François Chau,Miyuki Matsunaga,Anna Mikami,Paul Lasa,Charlene Amoia,Ella Mika,Derek Wilson,Bojana Novaković,Andy Hoff,Bruno Oliver,Michael Masini,Judy Kain,David Bianchi,Rj Wayne,Eddie Alfano,Simon Rhee,Sala Baker,Zack Whyel,Ellay Watson,Karen Teliha,Nev Smith,Greice Santo,Zeus Sagittarius,Talon Reid,Matthew Parry-Jones,Brian Nuesi,Adinett Nsabimana"
Source Code,4.0,3.42,0.58,04/24/2020,94,1:34,English,Duncan Jones,2011,"Mystery,Thriller,Science Fiction",Canada,6899,123925,"Jake Gyllenhaal,Michelle Monaghan,Vera Farmiga,Jeffrey Wright,Michael Arden,Russell Peters,Cas Anvar,Brent Skagford,Craig Thomas,Gordon Masten,Susan Bain,Joe Cobden,Paula Jean Hixson,Lincoln Ward,Kyle Gatehouse,Albert Kwan"
The Curious Case of Benjamin Button,4.0,3.6,0.40,,166,2:46,English,David Fincher,2008,"Drama,Romance,Fantasy",USA,13470,278981,"Brad Pitt,Cate Blanchett,Taraji P. Henson,Julia Ormond,Jason Flemyng,Mahershala Ali,Jared Harris,Elias Koteas,Phyllis Somerville,Tilda Swinton,Faune Chambers,Donna DuPlantier,Jacob Tolano,Earl Maddox,Ed Metzger,Danny Vinson,David Jensen,Joeanna Sayler,Fiona Hale,Patrick Thomas O'Brien,Marion Zinser,Peter Donald Badalamenti II,Danny Nelson,Paula Gray,Lance E. Nichols,Rampai Mohadi,Troi Bechet,Elle Fanning,Ted Manson,Clay Cullen,Edith Ivey,Robert Towers,Sonya Leslie,Yasmine Abriel,Madisen Beaty,Tom Everett,Don Creech,Christopher DesRoches,Joshua Desroches,Richmond Arquette,Josh Stewart,Ilia Volok,David Ross Paterson,Taren Cunningham,Myrton Running Wolf,Stephen Monroe Taylor"
Click,4.0,2.71,1.29,,107,1:47,"English,Portuguese,Japanese",Frank Coraci,2006,"Drama,Fantasy,Comedy",USA,8470,163388,"Adam Sandler,Kate Beckinsale,Christopher Walken,David Hasselhoff,Henry Winkler,Julie Kavner,Nick Swardson,Sean Astin,Jenae Altschwager,Billy Slaughter,Joseph Castanon,Jonah Hill,Jake Hoffman,Tatum McCann,Lorraine Nicholson,Katie Cassidy,Cheyenne Alexis Dean,Cameron Monaghan"
